X,Y,Player,Type,Weapon,Round,Other
535,2361,VRX Kawii#ECHO,Death,Ghost,1,Umbra#0202
3924,2652,VRX Saizsu#SRG,Death,Ghost,1,Trashies#6767
3353,1753,Gengar#0960,Death,Ghost,1,VRX ProfPanda#Vyrox
3191,1552,Trashies#6767,Death,Ghost,1,VRX ProfPanda#Vyrox
-140,3851,Umbra#0202,Death,Ghost,1,SirBrainz#3745
2641,-4531,Umbra#0202,Death,Classic,2,VRX Saizsu#SRG
739,2547,VRX Kawii#ECHO,Death,Spectre,2,Umbra#0202
2641,-3557,VRX Saizsu#SRG,Death,Headhunter,2,Gengar#0960
2588,3934,Noctis#7705,Death,Vandal,3,VRX Saizsu#SRG
554,3359,Gengar#0960,Death,Vandal,3,Fruchtig#FOKUS
832,5744,Trashies#6767,Death,Vandal,3,Fruchtig#FOKUS
2373,3442,VRX Kawii#ECHO,Death,Guardian,3,Trashies#6767
906,5423,Luggi#IGL,Death,Vandal,3,VRX ProfPanda#Vyrox
3964,4156,Umbra#0202,Death,Vandal,3,SirBrainz#3745
2772,532,VRX Saizsu#SRG,Death,Vandal,4,Trashies#6767
-1753,105,Umbra#0202,Death,Guardian,4,SirBrainz#3745
-151,3425,VRX Kawii#ECHO,Death,Vandal,4,Gengar#0960
3291,-1806,Umbra#0202,Death,Vandal,5,Fruchtig#FOKUS
77,-3004,Noctis#7705,Death,Vandal,5,Fruchtig#FOKUS
4098,-1957,VRX Saizsu#SRG,Death,Vandal,5,Trashies#6767
3566,-1353,Trashies#6767,Death,Spectre,5,VRX Kawii#ECHO
595,-4568,Luggi#IGL,Death,Vandal,5,VRX Kawii#ECHO
693,-4633,VRX Kawii#ECHO,Death,Classic,5,Gengar#0960
-1864,-5578,Gengar#0960,Death,Bomb,5,Gengar#0960
2839,3662,VRX Kawii#ECHO,Death,Vandal,6,Trashies#6767
2343,5235,Trashies#6767,Death,Vandal,6,SirBrainz#3745
2770,2429,Noctis#7705,Death,Vandal,6,SirBrainz#3745
-1317,980,VRX Saizsu#SRG,Death,Vandal,7,Noctis#7705
2557,3442,VRX Kawii#ECHO,Death,Vandal,7,Noctis#7705
-2400,-2409,Luggi#IGL,Death,Stinger,7,Fruchtig#FOKUS
-2850,2957,VRX Kawii#ECHO,Death,Phantom,8,Umbra#0202
3158,389,VRX Saizsu#SRG,Death,Vandal,8,Trashies#6767
751,-4364,Noctis#7705,Death,Vandal,8,VRX ProfPanda#Vyrox
-1422,-1745,VRX Kawii#ECHO,Death,Vandal,9,Noctis#7705
-1185,-5507,Trashies#6767,Death,Judge,9,VRX Saizsu#SRG
-1307,-3679,Noctis#7705,Death,Vandal,9,VRX Saizsu#SRG
-1757,787,Gengar#0960,Death,Phantom,9,VRX Kawii#ECHO
445,-4453,Noctis#7705,Death,Vandal,10,Fruchtig#FOKUS
2124,-5650,Umbra#0202,Death,Vandal,10,Fruchtig#FOKUS
1743,-5405,Luggi#IGL,Death,Vandal,10,Fruchtig#FOKUS
-1603,-4314,Trashies#6767,Death,Vandal,10,Fruchtig#FOKUS
-1177,-2316,VRX Kawii#ECHO,Death,Vandal,10,Trashies#6767
-1579,-1955,Gengar#0960,Death,Ares,10,VRX Kawii#ECHO
-1176,2611,VRX Kawii#ECHO,Death,Phantom,11,Luggi#IGL
-880,2951,VRX Saizsu#SRG,Death,Phantom,11,Luggi#IGL
-1694,-319,Gengar#0960,Death,Vandal,11,VRX ProfPanda#Vyrox
1171,2631,Noctis#7705,Death,Vandal,11,VRX ProfPanda#Vyrox
492,1088,Trashies#6767,Death,Phantom,11,SirBrainz#3745
-268,685,Umbra#0202,Death,Phantom,11,VRX Kawii#ECHO
3158,370,VRX Saizsu#SRG,Death,Vandal,12,Noctis#7705
2828,212,VRX Kawii#ECHO,Death,Operator,12,Trashies#6767
-113,-5459,Gengar#0960,Death,Vandal,12,SirBrainz#3745
266,-958,VRX Saizsu#SRG,Death,Ghost,13,Luggi#IGL
-145,-1916,Trashies#6767,Death,Ghost,13,VRX ProfPanda#Vyrox
827,-1173,Luggi#IGL,Death,Shock Bolt,13,SirBrainz#3745
1118,-3080,Umbra#0202,Death,Ghost,13,VRX Kawii#ECHO
-146,-3090,VRX Kawii#ECHO,Death,Headhunter,13,Gengar#0960
1355,2241,VRX Kawii#ECHO,Death,Stinger,14,Noctis#7705
2181,3445,VRX Saizsu#SRG,Death,Stinger,14,Noctis#7705
239,-5183,Luggi#IGL,Death,Vandal,15,VRX Saizsu#SRG
508,-3155,Noctis#7705,Death,Vandal,15,Fruchtig#FOKUS
-157,-3462,Umbra#0202,Death,Phantom,15,SirBrainz#3745
2893,-3302,Gengar#0960,Death,Phantom,15,SirBrainz#3745
113,-2107,Trashies#6767,Death,Phantom,15,SirBrainz#3745
1562,3719,VRX Kawii#ECHO,Death,Vandal,16,Noctis#7705
-2743,-2308,Trashies#6767,Death,Vandal,16,Fruchtig#FOKUS
1963,3462,Gengar#0960,Death,Vandal,16,Fruchtig#FOKUS
414,5190,Umbra#0202,Death,Vandal,16,VRX ProfPanda#Vyrox
1060,3948,Noctis#7705,Death,Phantom,16,SirBrainz#3745
1914,5507,Luggi#IGL,Death,Vandal,16,VRX Kawii#ECHO
522,2315,VRX Saizsu#SRG,Death,Vandal,16,Gengar#0960
-1609,-2934,Gengar#0960,Death,Phantom,17,VRX Saizsu#SRG
-123,-4565,Trashies#6767,Death,Phantom,17,SirBrainz#3745
101,-3767,Noctis#7705,Death,Phantom,17,SirBrainz#3745
3201,-3465,Umbra#0202,Death,Phantom,17,SirBrainz#3745
-157,-3433,Luggi#IGL,Death,Vandal,17,VRX Kawii#ECHO
2557,3442,VRX Kawii#ECHO,Death,Phantom,18,Noctis#7705
-654,1139,VRX Saizsu#SRG,Death,Vandal,18,Umbra#0202
-1239,2551,Umbra#0202,Death,Phantom,18,SirBrainz#3745
1886,4252,Luggi#IGL,Death,Hunter's Fury,18,SirBrainz#3745
163,1354,Umbra#0202,Death,Vandal,18,VRX Kawii#ECHO
-1297,-2316,VRX Saizsu#SRG,Death,Vandal,19,Noctis#7705
3198,-3519,Umbra#0202,Death,Vandal,19,VRX ProfPanda#Vyrox
-1576,-5252,Trashies#6767,Death,Vandal,19,VRX ProfPanda#Vyrox
-1507,-4575,Noctis#7705,Death,Phantom,19,SirBrainz#3745
3165,-2488,Luggi#IGL,Death,Phantom,19,VRX Kawii#ECHO
737,-4557,VRX Saizsu#SRG,Death,Vandal,20,Noctis#7705
1383,-3560,VRX Kawii#ECHO,Death,Vandal,20,Noctis#7705
2452,-453,Trashies#6767,Death,Phantom,20,VRX Saizsu#SRG
-1693,3490,Luggi#IGL,Death,Vandal,20,Fruchtig#FOKUS
1414,-3607,Gengar#0960,Death,Phantom,20,VRX Kawii#ECHO
